primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
MAP3K8	Time	0.0525421488646365	0.191723084999587	0.999392671169884	PTID2	ASDC	increasing over time
LDHA	Time	0.0933756910518104	0.186051933773503	0.999392671169884	PTID2	ASDC	increasing over time
LCP1	Time	0.213271280898877	0.17474067236752	0.999392671169884	PTID2	ASDC	increasing over time
OTULINL	Time	0.0261691347873405	0.174678428068885	0.946022384613833	PTID2	ASDC	increasing over time
PSME1	Time	0.157334781407643	0.173191652430513	0.999392671169884	PTID2	ASDC	increasing over time
UQCR11	Time	0.0841909493306204	0.168158593487509	0.999392671169884	PTID2	ASDC	increasing over time
COTL1	Time	0.2851222780843	0.167442223113526	0.999392671169884	PTID2	ASDC	increasing over time
ARNT	Time	0.205641055363294	0.166277260082084	0.999392671169884	PTID2	ASDC	increasing over time
HNRNPH1	Time	0.140353178454055	0.162001135690051	0.999392671169884	PTID2	ASDC	increasing over time
UQCR10	Time	0.110718361525465	0.153277322131322	0.999392671169884	PTID2	ASDC	increasing over time
RAC1	Time	0.242374986651586	0.144401467174429	0.999392671169884	PTID2	ASDC	increasing over time
PPA1	Time	0.195026441345475	0.142888955209984	0.999392671169884	PTID2	ASDC	increasing over time
S100A11	Time	0.396431087411252	0.139632637617583	0.999392671169884	PTID2	ASDC	increasing over time
GMFG	Time	0.285506695084517	0.139056473827888	0.999392671169884	PTID2	ASDC	increasing over time
RBX1	Time	0.164915252761176	0.13590281092082	0.999392671169884	PTID2	ASDC	increasing over time
CAP1	Time	0.254839609878013	0.130827765409756	0.999392671169884	PTID2	ASDC	increasing over time
SP110	Time	0.00307286656351485	0.130619595199379	0.810318289711514	PTID2	ASDC	increasing over time
IER2	Time	0.112105390353131	0.12848135185845	0.999392671169884	PTID2	ASDC	increasing over time
DBI	Time	0.252238458126856	0.126026424528595	0.999392671169884	PTID2	ASDC	increasing over time
SEC61G	Time	0.312598847268585	0.12569861533528	0.999392671169884	PTID2	ASDC	increasing over time
SOX4	Time	0.0746635753940895	0.125011512721986	0.999392671169884	PTID2	ASDC	increasing over time
CSDE1	Time	0.178010290336625	0.123499221164085	0.999392671169884	PTID2	ASDC	increasing over time
CC2D1A	Time	0.310172999102259	0.121065463616009	0.999392671169884	PTID2	ASDC	increasing over time
PPP1R15A	Time	0.041028956304648	0.11995986061103	0.946022384613833	PTID2	ASDC	increasing over time
STMP1	Time	0.11494898532556	0.119646839143585	0.999392671169884	PTID2	ASDC	increasing over time
MRPL51	Time	0.0231698565654613	0.118558179441714	0.946022384613833	PTID2	ASDC	increasing over time
DAB2	Time	0.164228050169434	0.117358308387973	0.999392671169884	PTID2	ASDC	increasing over time
SSB	Time	0.112886898367554	0.116747638331244	0.999392671169884	PTID2	ASDC	increasing over time
MORF4L1	Time	0.316405691230323	0.116048871259562	0.999392671169884	PTID2	ASDC	increasing over time
TXN	Time	0.0884272325751933	0.114286706337095	0.999392671169884	PTID2	ASDC	increasing over time
HSPA8	Time	0.27546549655446	0.112597568090212	0.999392671169884	PTID2	ASDC	increasing over time
EVI2B	Time	0.0145652109753966	0.112331589895048	0.938687588897055	PTID2	ASDC	increasing over time
ARL4C	Time	0.32089086839563	0.111044236611293	0.999392671169884	PTID2	ASDC	increasing over time
DNAJC8	Time	0.0201538595300664	0.110360649118579	0.946022384613833	PTID2	ASDC	increasing over time
GUK1	Time	0.283874793682771	0.109998334251395	0.999392671169884	PTID2	ASDC	increasing over time
TAPBP	Time	0.233539018246448	0.108054452127178	0.999392671169884	PTID2	ASDC	increasing over time
NEAT1	Time	0.106403998938687	0.107946175708968	0.999392671169884	PTID2	ASDC	increasing over time
SON	Time	0.27973059264249	0.107162365416864	0.999392671169884	PTID2	ASDC	increasing over time
UQCRQ	Time	0.237910340251471	0.105731898010138	0.999392671169884	PTID2	ASDC	increasing over time
RIPOR2	Time	0.000475404689815179	0.103647757267435	0.295446697099947	PTID2	ASDC	increasing over time
PRDX6	Time	0.312258342105824	0.102460613309884	0.999392671169884	PTID2	ASDC	increasing over time
HIST1H1E	Time	0.131259492709741	0.100545114415218	0.999392671169884	PTID2	ASDC	increasing over time
YWHAE	Time	0.114049964773448	0.100309594162433	0.999392671169884	PTID2	ASDC	increasing over time
RAN	Time	0.445255387880991	0.0999593284470759	0.999392671169884	PTID2	ASDC	increasing over time
H2AFV	Time	0.250467718956373	0.0980055968384007	0.999392671169884	PTID2	ASDC	increasing over time
GNB2	Time	0.134906212006629	0.0975680161156065	0.999392671169884	PTID2	ASDC	increasing over time
PCBP2	Time	0.0611969265391989	0.0975063959961052	0.999392671169884	PTID2	ASDC	increasing over time
TSPAN13	Time	0.00796572377142428	0.0968064547947436	0.82535176625209	PTID2	ASDC	increasing over time
CKLF	Time	0.144093233580339	0.0967201744039662	0.999392671169884	PTID2	ASDC	increasing over time
TYMP	Time	0.461547269935089	0.0966848347679693	0.999392671169884	PTID2	ASDC	increasing over time
HMGN2	Time	0.44477382515123	0.0958649722256741	0.999392671169884	PTID2	ASDC	increasing over time
NDUFB8	Time	0.0211772437438019	0.0944768761290361	0.946022384613833	PTID2	ASDC	increasing over time
