primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
HSP90AA1	Time	0.000396320639185745	0.053692736955798	0.0620241800325691	PTID2	B-intermediate	increasing over time
PTPRC	Time	0.00406295869965989	0.0494127685311174	0.243120278660531	PTID2	B-intermediate	increasing over time
MS4A1	Time	0.006172301311122	0.0473172005411033	0.295471694528887	PTID2	B-intermediate	increasing over time
ATP5IF1	Time	0.000313101395937094	0.0463294058143111	0.0530837325028349	PTID2	B-intermediate	increasing over time
CORO1A	Time	8.77793096091594e-05	0.0462866403953215	0.018798632147351	PTID2	B-intermediate	increasing over time
ARL6IP5	Time	0.000224655485460915	0.0426806471045612	0.0415510531972938	PTID2	B-intermediate	increasing over time
MYL12A	Time	0.00235096577637992	0.041029714538908	0.179434455681842	PTID2	B-intermediate	increasing over time
BCL11A	Time	0.0044339693531362	0.0398075970255632	0.252787580622671	PTID2	B-intermediate	increasing over time
ACTR3	Time	0.00252288154220697	0.037041067424784	0.186647363549821	PTID2	B-intermediate	increasing over time
AC004687.1	Time	0.00238128793482907	0.0365585246772532	0.179434455681842	PTID2	B-intermediate	increasing over time
SWAP70	Time	0.00679292430544238	0.0355833861231468	0.307115655542723	PTID2	B-intermediate	increasing over time
ACTG1	Time	0.0478383954466165	0.0348772204144281	0.570834108716371	PTID2	B-intermediate	increasing over time
HNRNPA2B1	Time	0.0192973265218091	0.0347284486988151	0.479647290580957	PTID2	B-intermediate	increasing over time
EAF2	Time	0.00979970448769286	0.0340101926205616	0.375935868013523	PTID2	B-intermediate	increasing over time
TRAF3IP3	Time	0.00174287708003273	0.033836617115534	0.164924810201237	PTID2	B-intermediate	increasing over time
COX7A2	Time	0.00981346171036971	0.0337520798412259	0.375935868013523	PTID2	B-intermediate	increasing over time
SUB1	Time	0.0218278517950199	0.0337038160968919	0.48640050113663	PTID2	B-intermediate	increasing over time
STX7	Time	0.00148373115284869	0.0328946951092182	0.154802616947213	PTID2	B-intermediate	increasing over time
RAP1B	Time	0.00140439107925772	0.0328053754430613	0.152589074859565	PTID2	B-intermediate	increasing over time
SPIB	Time	0.00492093472208394	0.0327320192623627	0.266977111788794	PTID2	B-intermediate	increasing over time
CSK	Time	0.00106317195478085	0.0326289720861872	0.127236667176567	PTID2	B-intermediate	increasing over time
PSMB9	Time	0.0254814628114681	0.0318849277435778	0.493733677046969	PTID2	B-intermediate	increasing over time
CLIC1	Time	0.00587712030379408	0.0314617906487993	0.295471694528887	PTID2	B-intermediate	increasing over time
ARPC3	Time	0.00995013034714778	0.0314508828681714	0.375935868013523	PTID2	B-intermediate	increasing over time
ACTR2	Time	0.0272947999199623	0.0312238881785039	0.510247179542824	PTID2	B-intermediate	increasing over time
SNX2	Time	0.0368705405180254	0.0309388269271482	0.534623920047566	PTID2	B-intermediate	increasing over time
OAZ1	Time	0.00162949708763834	0.0309282358097664	0.157867229752391	PTID2	B-intermediate	increasing over time
MTDH	Time	0.0186469659268907	0.0307116419836705	0.479647290580957	PTID2	B-intermediate	increasing over time
TBC1D10C	Time	0.0019661267310872	0.0306092138120046	0.179434455681842	PTID2	B-intermediate	increasing over time
MYL12B	Time	0.0320233764196723	0.029903901483302	0.516491894042452	PTID2	B-intermediate	increasing over time
GAPT	Time	0.000777993308279907	0.0292279738038489	0.105521825713031	PTID2	B-intermediate	increasing over time
SPCS2	Time	0.015096357749342	0.0290581631116894	0.461857741970471	PTID2	B-intermediate	increasing over time
ATP5F1A	Time	0.00996009962044086	0.0279970902277852	0.375935868013523	PTID2	B-intermediate	increasing over time
PFN1	Time	0.0660654559678185	0.0278937241064856	0.635075846953746	PTID2	B-intermediate	increasing over time
BST2	Time	0.00142501470746214	0.0276314200471513	0.152589074859565	PTID2	B-intermediate	increasing over time
CHCHD10	Time	0.0584376526077633	0.0276286528019596	0.614425861656302	PTID2	B-intermediate	increasing over time
SRSF5	Time	0.0726970216868556	0.0276053672379577	0.638885920612993	PTID2	B-intermediate	increasing over time
EIF3G	Time	0.0346138318440015	0.0275590253166692	0.520126969565568	PTID2	B-intermediate	increasing over time
S100A4	Time	0.162486278491435	0.0271706281555295	0.7480390543901	PTID2	B-intermediate	increasing over time
IFITM2	Time	0.00969244778250457	0.0269545137561651	0.375935868013523	PTID2	B-intermediate	increasing over time
LBH	Time	0.0359928534451877	0.0266316587375767	0.528718125156927	PTID2	B-intermediate	increasing over time
IRF2	Time	0.00112660847134017	0.0265637449543387	0.127338051941198	PTID2	B-intermediate	increasing over time
HVCN1	Time	0.0266677104436627	0.0258102116885248	0.509440909836917	PTID2	B-intermediate	increasing over time
PPIA	Time	0.117511395424352	0.0256670339202827	0.70929361035669	PTID2	B-intermediate	increasing over time
ARPC2	Time	0.122735659623201	0.0253926970560456	0.714465520753658	PTID2	B-intermediate	increasing over time
GNAI2	Time	0.0906208189007607	0.0253113256991047	0.66127803519712	PTID2	B-intermediate	increasing over time
PLEK	Time	0.0284669269984426	0.0252833114464944	0.510272801571202	PTID2	B-intermediate	increasing over time
CCT3	Time	0.00953831707440581	0.0252484858980894	0.375935868013523	PTID2	B-intermediate	increasing over time
FCRL2	Time	0.0238560754141445	0.0252450603200763	0.489725292684315	PTID2	B-intermediate	increasing over time
H2AFZ	Time	0.0225381064841474	0.0251940598903336	0.48640050113663	PTID2	B-intermediate	increasing over time
PDIA3	Time	0.0459043437564474	0.0249291948493147	0.56773487764433	PTID2	B-intermediate	increasing over time
ACTB	Time	0.00153404788658539	0.0248330496241098	0.155782011271382	PTID2	B-intermediate	increasing over time
PSME1	Time	0.0826620338410027	0.0247135442005566	0.660496012974756	PTID2	B-intermediate	increasing over time
HNRNPF	Time	0.0193785835738022	0.0246976376460157	0.479647290580957	PTID2	B-intermediate	increasing over time
PSMB8	Time	0.0412289749098264	0.0246719040319677	0.550035078387159	PTID2	B-intermediate	increasing over time
SRSF3	Time	0.0602828681685106	0.0244302556003048	0.621847093065767	PTID2	B-intermediate	increasing over time
HSPA8	Time	0.0128711773830119	0.024396875378214	0.433285503772359	PTID2	B-intermediate	increasing over time
RBX1	Time	0.0338341839460554	0.0243319577984429	0.520126969565568	PTID2	B-intermediate	increasing over time
PTPN6	Time	0.0187028774221294	0.0242619254060491	0.479647290580957	PTID2	B-intermediate	increasing over time
IFI16	Time	0.0594317669412287	0.0242454522085119	0.618485574639027	PTID2	B-intermediate	increasing over time
