primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
GIMAP7	Time	1.39041371169458e-09	0.0462327564870912	6.80086106732612e-07	PTID2	NK	increasing over time
GIMAP4	Time	1.55272238550146e-08	0.041648258269025	6.75089188274134e-06	PTID2	NK	increasing over time
S100A11	Time	1.0916422979909e-05	0.0386467780317435	0.00152557011144228	PTID2	NK	increasing over time
CX3CR1	Time	3.47166061628147e-10	0.0382606196268548	2.19134591893517e-07	PTID2	NK	increasing over time
HSPA8	Time	7.22425208329329e-07	0.0378881845484644	0.000188456656012844	PTID2	NK	increasing over time
PSMB8	Time	2.59174581520356e-05	0.0376533557019713	0.00327145205641663	PTID2	NK	increasing over time
ACTR3	Time	4.71992221014733e-05	0.0372415042115197	0.00486741018567434	PTID2	NK	increasing over time
EMP3	Time	2.0749879299214e-07	0.0347490592393462	5.79959126413031e-05	PTID2	NK	increasing over time
APBB1IP	Time	6.69005866290496e-06	0.0346597424210399	0.00124658093085462	PTID2	NK	increasing over time
HNRNPF	Time	9.64267581650882e-08	0.0345206407011783	3.14431587249992e-05	PTID2	NK	increasing over time
STK17A	Time	0.00030036341424744	0.0319731321880384	0.0192675744254136	PTID2	NK	increasing over time
XBP1	Time	9.53192123405926e-05	0.0313940836244044	0.00810834951932041	PTID2	NK	increasing over time
ACTG1	Time	4.07770788081428e-06	0.0313731796025682	0.000839793207243489	PTID2	NK	increasing over time
TRAF3IP3	Time	0.00011683084744889	0.0313681074254393	0.00968394602693582	PTID2	NK	increasing over time
DYNLL1	Time	6.26449725385832e-05	0.0308419794942592	0.00591588014206511	PTID2	NK	increasing over time
CCND3	Time	0.000264375752473961	0.0305249318402451	0.0178362468867347	PTID2	NK	increasing over time
HOPX	Time	0.00450756158807781	0.030153022150422	0.123924574596613	PTID2	NK	increasing over time
MRPS6	Time	3.83078600399256e-05	0.0281362136095383	0.00428281875246369	PTID2	NK	increasing over time
CXXC5	Time	5.90632906567146e-05	0.0278868284457165	0.00577786640849311	PTID2	NK	increasing over time
ARPC1B	Time	0.00575484724474932	0.027365081888747	0.140741982929401	PTID2	NK	increasing over time
SPN	Time	0.000483127212421709	0.0262095869733342	0.0282160713762111	PTID2	NK	increasing over time
CLIC1	Time	0.00123120571460792	0.0257987283423233	0.0562278698499007	PTID2	NK	increasing over time
ATP5MF	Time	0.00404438765721481	0.0243295746338059	0.114955947933625	PTID2	NK	increasing over time
CASP4	Time	0.00118073746434126	0.0241555233840093	0.0556653698550285	PTID2	NK	increasing over time
FCER1G	Time	0.0100101661506599	0.024116894863248	0.180128973460675	PTID2	NK	increasing over time
SYNRG	Time	8.89028422485851e-05	0.024059566509095	0.00773059603819363	PTID2	NK	increasing over time
BST2	Time	0.00732875282527957	0.0240100010792099	0.158875000132719	PTID2	NK	increasing over time
DNAJA1	Time	0.000122210080311226	0.0238562243602618	0.00975934784199651	PTID2	NK	increasing over time
CTSC	Time	0.0169530588199865	0.0237029033175449	0.239484906724213	PTID2	NK	increasing over time
PTPN6	Time	4.10702545778488e-05	0.0235315419311093	0.00446410850453118	PTID2	NK	increasing over time
CKLF	Time	0.00415121538946225	0.0230086194407042	0.116194243779066	PTID2	NK	increasing over time
RAN	Time	0.00326265569810705	0.0229730186607883	0.105907825914792	PTID2	NK	increasing over time
PYCARD	Time	0.000862981684718797	0.0229047648810151	0.0427449029405652	PTID2	NK	increasing over time
PTGES3	Time	0.0122214076604545	0.0228035041258977	0.205975232913631	PTID2	NK	increasing over time
CD2	Time	0.0160942704267446	0.022785051367287	0.234518899185682	PTID2	NK	increasing over time
ABRACL	Time	0.000248241261100667	0.0226545526040866	0.0176612373579438	PTID2	NK	increasing over time
PSME2	Time	0.020886546785981	0.0223926832130994	0.260283622845681	PTID2	NK	increasing over time
ALOX5AP	Time	0.00895292791819489	0.0222870268721929	0.17279625594561	PTID2	NK	increasing over time
GLRX	Time	0.00617233523736217	0.0221330607541732	0.146353101986236	PTID2	NK	increasing over time
PSMA7	Time	0.0132900823216547	0.0220910494525337	0.213007120255189	PTID2	NK	increasing over time
MYL12A	Time	0.00643701396803338	0.0217704790845734	0.148164915628909	PTID2	NK	increasing over time
SRSF5	Time	0.0245892129927365	0.0216424904368206	0.282992913060523	PTID2	NK	increasing over time
CD47	Time	0.0231349255219857	0.0215662602463337	0.275157943974255	PTID2	NK	increasing over time
CORO1A	Time	0.0100352967580954	0.0214697351070869	0.180128973460675	PTID2	NK	increasing over time
VIM	Time	0.0894529209370267	0.0213642917170507	0.453303311699663	PTID2	NK	increasing over time
KLRD1	Time	0.0262695957141506	0.0213351848355592	0.287131083881204	PTID2	NK	increasing over time
GLIPR1	Time	0.000509029625973314	0.0212590314808221	0.0292916606828467	PTID2	NK	increasing over time
IFITM2	Time	0.0067377396809894	0.0212319644958643	0.150655859266923	PTID2	NK	increasing over time
ATP5F1E	Time	0.016158444604595	0.0212060923417332	0.234518899185682	PTID2	NK	increasing over time
AC004687.1	Time	0.00907770239672008	0.0211367460943835	0.173273412089589	PTID2	NK	increasing over time
SLTM	Time	0.00524924427807056	0.0210309073895777	0.135133505658488	PTID2	NK	increasing over time
GIMAP1	Time	0.000118791057831055	0.0209706772414321	0.00968394602693582	PTID2	NK	increasing over time
CSK	Time	0.00405415814332743	0.0208807841729742	0.114955947933625	PTID2	NK	increasing over time
SEM1	Time	0.00474605767505152	0.0206613271844406	0.128967525572754	PTID2	NK	increasing over time
HSP90AA1	Time	0.0542401653004119	0.0206202229908499	0.379003155036628	PTID2	NK	increasing over time
GADD45GIP1	Time	0.00312082980944685	0.0202332181700799	0.104281141784979	PTID2	NK	increasing over time
FAM49B	Time	0.0155185797299768	0.0202282866372704	0.230890503739161	PTID2	NK	increasing over time
GNAS	Time	0.0530990171821016	0.0201108268399539	0.378477108206776	PTID2	NK	increasing over time
DENND2D	Time	0.000146442310486704	0.020089822383776	0.0112358580575387	PTID2	NK	increasing over time
JPT1	Time	0.000630043650924257	0.0200552835376775	0.0335874639186368	PTID2	NK	increasing over time
KMT2A	Time	0.00560753422197111	0.0200111501806101	0.138875198801095	PTID2	NK	increasing over time
PIM1	Time	2.78329289292438e-06	0.0198601159236918	0.000640648534706653	PTID2	NK	increasing over time
DDX17	Time	0.0534781159698685	0.0196247426402425	0.378477108206776	PTID2	NK	increasing over time
LTB	Time	0.00187032186262073	0.0195678332887817	0.0741482367946435	PTID2	NK	increasing over time
TMBIM4	Time	0.00794882188912358	0.0195423637690014	0.163703895011266	PTID2	NK	increasing over time
MRPS34	Time	0.0068570172071676	0.0194051849695802	0.151548190755331	PTID2	NK	increasing over time
H2AFV	Time	0.011583248652092	0.0193490929088751	0.198948762181904	PTID2	NK	increasing over time
CD160	Time	0.0298017121749769	0.0193288499524243	0.306262460728907	PTID2	NK	increasing over time
TPM4	Time	0.00519465914900457	0.0191869413820179	0.134613915563277	PTID2	NK	increasing over time
APOBEC3G	Time	0.00604192927076283	0.0191311909133083	0.145043369549049	PTID2	NK	increasing over time
ARL4C	Time	0.0643181779236311	0.0190418482802388	0.407244385461437	PTID2	NK	increasing over time
LY6E	Time	0.0804463956805084	0.0189511616490365	0.434485461719804	PTID2	NK	increasing over time
CDC42SE1	Time	0.0585074899446749	0.0189153695524952	0.392640766092397	PTID2	NK	increasing over time
STAG2	Time	0.00415721802429573	0.0189136648447362	0.116194243779066	PTID2	NK	increasing over time
PLEK	Time	0.0141805119943278	0.0188440492380735	0.218458045014979	PTID2	NK	increasing over time
MRPL51	Time	0.00157672361576591	0.0187982221936749	0.066341069983785	PTID2	NK	increasing over time
UBL5	Time	0.0743619918898456	0.0185736737352795	0.423071278295974	PTID2	NK	increasing over time
NOP10	Time	0.0133583080213437	0.0185675529836868	0.213007120255189	PTID2	NK	increasing over time
OST4	Time	0.0665931775513901	0.0182058152361406	0.410136259850481	PTID2	NK	increasing over time
TRIR	Time	0.0824978554997091	0.018144581096315	0.438162746418706	PTID2	NK	increasing over time
