primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
TXNIP	Time	1.7645725115976e-97	0.138744232871693	5.97131337924627e-94	PTID4	B-naive	increasing over time
TSC22D3	Time	6.83206025692554e-35	0.104204055439637	1.1559845954718e-31	PTID4	B-naive	increasing over time
CXCR4	Time	4.18371318117963e-25	0.0889455568997293	4.71922846837062e-22	PTID4	B-naive	increasing over time
JUN	Time	2.47048505897059e-07	0.0499543619741327	8.36012143955649e-05	PTID4	B-naive	increasing over time
DUSP1	Time	3.15031994343075e-13	0.0446625290752276	2.13213653771393e-10	PTID4	B-naive	increasing over time
JUNB	Time	1.09182740117625e-07	0.0440668490016969	4.10527102842268e-05	PTID4	B-naive	increasing over time
BTG1	Time	1.36230414400501e-16	0.0417531998505845	1.15250930582824e-13	PTID4	B-naive	increasing over time
CD69	Time	4.64780888406256e-13	0.0370392942387507	2.62136421061129e-10	PTID4	B-naive	increasing over time
FOS	Time	1.32987903911847e-06	0.0337669974431259	0.000375025889031409	PTID4	B-naive	increasing over time
TPM3	Time	3.5015473572877e-05	0.0331168381212306	0.00740577266066349	PTID4	B-naive	increasing over time
IRF1	Time	8.64223779600652e-08	0.0330230230758777	3.65566658771076e-05	PTID4	B-naive	increasing over time
KLF2	Time	3.46843926208383e-08	0.0309358280840768	1.67674263755596e-05	PTID4	B-naive	increasing over time
EAF2	Time	0.00053811975054831	0.0259157229023743	0.0569061636204837	PTID4	B-naive	increasing over time
MEF2C	Time	0.00363743775090433	0.0246006650171595	0.127606567775363	PTID4	B-naive	increasing over time
JUND	Time	0.00365775327252075	0.0240940521072175	0.127606567775363	PTID4	B-naive	increasing over time
NFKBIA	Time	0.000457612266002756	0.023873087072017	0.0516186636051109	PTID4	B-naive	increasing over time
AC025164.1	Time	8.68495898433692e-07	0.0237988147087042	0.000267180920027238	PTID4	B-naive	increasing over time
NCL	Time	0.00130217079472433	0.0223415387509276	0.0927573741524138	PTID4	B-naive	increasing over time
CD48	Time	0.0125294516059566	0.0216458410252782	0.218554970281223	PTID4	B-naive	increasing over time
PSME1	Time	0.0172005237264067	0.0204464641148536	0.244365597266615	PTID4	B-naive	increasing over time
TMA7	Time	0.00114001723120174	0.0203492162385059	0.0881812516774151	PTID4	B-naive	increasing over time
RALGPS2	Time	0.0212101988899046	0.020286301316057	0.269367600409103	PTID4	B-naive	increasing over time
IQGAP1	Time	0.00131570743478601	0.0196608370571056	0.0927573741524138	PTID4	B-naive	increasing over time
MSN	Time	0.00323087737687125	0.0194097602359983	0.127606567775363	PTID4	B-naive	increasing over time
YWHAZ	Time	0.0017259489772811	0.0193720796792018	0.10496955073619	PTID4	B-naive	increasing over time
SNHG8	Time	0.00814771062114383	0.0192884194710692	0.182104834557389	PTID4	B-naive	increasing over time
SAT1	Time	0.0068739111159508	0.018963149907646	0.168321162380441	PTID4	B-naive	increasing over time
STK4	Time	0.00183012979534471	0.018427665478996	0.10496955073619	PTID4	B-naive	increasing over time
ZFP36L2	Time	0.0369359131981962	0.0183756668423534	0.326347598597117	PTID4	B-naive	increasing over time
STK17A	Time	0.0178947078114018	0.0183256522375623	0.24817906243354	PTID4	B-naive	increasing over time
ARPC3	Time	0.0130830769934648	0.0181122678234882	0.221365662729425	PTID4	B-naive	increasing over time
YWHAB	Time	0.00425571359950293	0.0180625646259172	0.132122337804752	PTID4	B-naive	increasing over time
CTSS	Time	0.0398221017995206	0.0179800569493012	0.33141242009958	PTID4	B-naive	increasing over time
ZCCHC7	Time	0.0114339219330022	0.0178340682963909	0.212595559457579	PTID4	B-naive	increasing over time
PAX5	Time	0.00491190696633847	0.0177821041560173	0.14158107785861	PTID4	B-naive	increasing over time
EZR	Time	0.0104020503182108	0.0175786033033459	0.202908338182856	PTID4	B-naive	increasing over time
TNRC6B	Time	0.0136911594613818	0.0174331385206061	0.226020665861035	PTID4	B-naive	increasing over time
DDX24	Time	0.0257064483984981	0.0173222624891046	0.28422941690213	PTID4	B-naive	increasing over time
KLF6	Time	0.00561997512552499	0.0168472885434687	0.153370934070779	PTID4	B-naive	increasing over time
RCSD1	Time	0.0535044500142784	0.0168060464877716	0.360550220869048	PTID4	B-naive	increasing over time
FNBP1	Time	0.0031417828971441	0.0168028085136471	0.127606567775363	PTID4	B-naive	increasing over time
MDM4	Time	0.0293998570998629	0.0166874345998697	0.30057134871884	PTID4	B-naive	increasing over time
IGHD	Time	0.0825117725959743	0.0162393543399029	0.412576280119069	PTID4	B-naive	increasing over time
HNRNPU	Time	0.100059271009191	0.0157685268759431	0.440256973601299	PTID4	B-naive	increasing over time
PNISR	Time	0.0399192012169995	0.0157658152577036	0.33141242009958	PTID4	B-naive	increasing over time
BTG2	Time	0.0199256370178763	0.0156424671376791	0.262367142678963	PTID4	B-naive	increasing over time
MYL6	Time	0.0796142173101955	0.0155356580225188	0.409602796319883	PTID4	B-naive	increasing over time
EIF3K	Time	0.00827040967439311	0.0154905066962769	0.182104834557389	PTID4	B-naive	increasing over time
HSPA4	Time	0.00353246985797973	0.0154611213491728	0.127606567775363	PTID4	B-naive	increasing over time
ELOB	Time	0.0130574342805384	0.0152247304474675	0.221365662729425	PTID4	B-naive	increasing over time
EIF4B	Time	0.0921317600373082	0.014868375642643	0.437583045184605	PTID4	B-naive	increasing over time
SELENOH	Time	0.0738627365322881	0.0148655055183173	0.400975674342429	PTID4	B-naive	increasing over time
TOMM20	Time	0.0622714314355021	0.0147972053720571	0.376297364245963	PTID4	B-naive	increasing over time
ATXN7L3B	Time	0.00712784216957986	0.0147638428104776	0.170188058346855	PTID4	B-naive	increasing over time
RNMT	Time	0.022671924906466	0.0147545153180759	0.272063098877592	PTID4	B-naive	increasing over time
AC007952.4	Time	4.74765289397816e-06	0.0147334891841814	0.00114757552808729	PTID4	B-naive	increasing over time
STK17B	Time	0.0750058872162387	0.014697600174978	0.402417406396382	PTID4	B-naive	increasing over time
IFITM2	Time	0.0436583085060818	0.0145804898350047	0.336447404770593	PTID4	B-naive	increasing over time
PFN1	Time	0.103348018043393	0.0145475409232927	0.445512827137668	PTID4	B-naive	increasing over time
UBE2D3	Time	0.0591568179837909	0.0143734071064832	0.372981492511127	PTID4	B-naive	increasing over time
ANKRD12	Time	0.0241300105169711	0.0143322064252267	0.278689268223312	PTID4	B-naive	increasing over time
CLEC2B	Time	0.0130299315136146	0.0143296318238892	0.221365662729425	PTID4	B-naive	increasing over time
CEMIP2	Time	0.00522559196203695	0.0142568249728602	0.148600026886832	PTID4	B-naive	increasing over time
NDUFA11	Time	0.0415787031864824	0.0141560555966154	0.332764386231983	PTID4	B-naive	increasing over time
TNFAIP8	Time	0.00385820078213407	0.0140988289076414	0.130561514467417	PTID4	B-naive	increasing over time
PNRC1	Time	0.114839210370364	0.0136430378231018	0.465479166655918	PTID4	B-naive	increasing over time
GYPC	Time	0.080774703492663	0.0136247524872708	0.411659031052969	PTID4	B-naive	increasing over time
PMAIP1	Time	7.68985430196955e-05	0.0134836018574655	0.0136960352409816	PTID4	B-naive	increasing over time
NEAT1	Time	0.0241073328631081	0.0134461311074172	0.278689268223312	PTID4	B-naive	increasing over time
SHISA5	Time	0.0016965046277407	0.0133021726092062	0.10496955073619	PTID4	B-naive	increasing over time
EXOSC6	Time	0.00193222515590965	0.0132668082574095	0.105462095606423	PTID4	B-naive	increasing over time
UXT	Time	0.00637619105563255	0.0132233722593378	0.163462352517125	PTID4	B-naive	increasing over time
ANP32E	Time	0.0323029947881274	0.0131424687964631	0.306199816142922	PTID4	B-naive	increasing over time
PNN	Time	0.117640097183561	0.0130871048802506	0.469450576496662	PTID4	B-naive	increasing over time
CSDE1	Time	0.0348479853732266	0.0130417714228385	0.315309044125665	PTID4	B-naive	increasing over time
HADHA	Time	0.0394786889613521	0.0129914733614611	0.33141242009958	PTID4	B-naive	increasing over time
ETS1	Time	0.0123984284790926	0.0129491015667167	0.218150331510083	PTID4	B-naive	increasing over time
DDX6	Time	0.078101304305468	0.0129154215600861	0.408622092077926	PTID4	B-naive	increasing over time
TMPO	Time	0.0734234235400338	0.0128706797351839	0.400586742879254	PTID4	B-naive	increasing over time
HLA-DQA1	Time	0.031497188175417	0.0127215016635436	0.302802513595486	PTID4	B-naive	increasing over time
MARCKSL1	Time	0.0595183232730522	0.0125730081940336	0.372981492511127	PTID4	B-naive	increasing over time
DRAP1	Time	0.114791622994197	0.0125461090324585	0.465479166655918	PTID4	B-naive	increasing over time
SSBP1	Time	0.00306506349112277	0.0125417090453536	0.127606567775363	PTID4	B-naive	increasing over time
TMEM256	Time	0.00228428454429339	0.0124980443640275	0.1147382518433	PTID4	B-naive	increasing over time
PDE4B	Time	0.033389363868208	0.0124743528990785	0.309672974239361	PTID4	B-naive	increasing over time
SSR2	Time	0.0925029774843295	0.0124618563086322	0.437583045184605	PTID4	B-naive	increasing over time
EIF3F	Time	0.175424503298923	0.0124467819605676	0.526740478405994	PTID4	B-naive	increasing over time
SEPT6	Time	0.00317859676641821	0.0124362607732345	0.127606567775363	PTID4	B-naive	increasing over time
MSL3	Time	0.0027269693881962	0.0123379182998238	0.124703573103459	PTID4	B-naive	increasing over time
FOSB	Time	0.0325863617652166	0.0122651003974968	0.308023039702494	PTID4	B-naive	increasing over time
SP140	Time	0.0233470340776721	0.0122435817758541	0.276699256854022	PTID4	B-naive	increasing over time
BOD1L1	Time	0.181842595974039	0.0120737937380508	0.533591290870296	PTID4	B-naive	increasing over time
SRRM1	Time	0.108141868182744	0.0120334346413715	0.45641062969456	PTID4	B-naive	increasing over time
RBM39	Time	0.0380665624461637	0.0119796810054054	0.329455875493141	PTID4	B-naive	increasing over time
LAT2	Time	0.0831676543596068	0.0119722178373146	0.41327363047417	PTID4	B-naive	increasing over time
CAPZA1	Time	0.0137464760678606	0.0119709758047823	0.226020665861035	PTID4	B-naive	increasing over time
GSTP1	Time	0.0959784220723113	0.0119384289815652	0.439384684249561	PTID4	B-naive	increasing over time
CHPT1	Time	0.00322079814842289	0.0119261770023895	0.127606567775363	PTID4	B-naive	increasing over time
H3F3B	Time	0.125317438025723	0.0118920938926985	0.474037380041297	PTID4	B-naive	increasing over time
HNRNPC	Time	0.136903544027265	0.0118720304209163	0.490764399351976	PTID4	B-naive	increasing over time
TMEM258	Time	0.0108315629110783	0.011819036275737	0.205108594642463	PTID4	B-naive	increasing over time
HP1BP3	Time	0.161314884985455	0.0116737325998886	0.515926120282487	PTID4	B-naive	increasing over time
NRDC	Time	0.0217845887844097	0.0116136187778976	0.269367600409103	PTID4	B-naive	increasing over time
PRDM2	Time	0.108707732722759	0.0115946373252191	0.45641062969456	PTID4	B-naive	increasing over time
SLC25A6	Time	0.26395367345706	0.0114588363706012	0.595359446405532	PTID4	B-naive	increasing over time
GPX4	Time	0.169754402695574	0.0114447558709627	0.521278492488041	PTID4	B-naive	increasing over time
NFKBIZ	Time	1.03614935306044e-05	0.0114375815112994	0.00233755294050434	PTID4	B-naive	increasing over time
SPTAN1	Time	0.00593028364196088	0.0114052883298905	0.157771903065203	PTID4	B-naive	increasing over time
LAMTOR4	Time	0.208727060651362	0.0113976314397513	0.556264571181552	PTID4	B-naive	increasing over time
DOCK8	Time	0.00720862246053357	0.0113361375466653	0.170587261583536	PTID4	B-naive	increasing over time
DDX21	Time	0.107397013943047	0.0111234014725175	0.45641062969456	PTID4	B-naive	increasing over time
STRBP	Time	0.0904702364501671	0.0110772686289011	0.434873977482053	PTID4	B-naive	increasing over time
EIF1	Time	0.0152640220216316	0.0110485045547786	0.238034334199084	PTID4	B-naive	increasing over time
GUK1	Time	0.0124417890016093	0.0110053308887083	0.218150331510083	PTID4	B-naive	increasing over time
SBDS	Time	0.00411711373053834	0.0109494107508817	0.132122337804752	PTID4	B-naive	increasing over time
TLN1	Time	0.198146755066169	0.010916679654844	0.550644938572214	PTID4	B-naive	increasing over time
ARPC4	Time	0.0298131995279741	0.0108972746538628	0.301157812545267	PTID4	B-naive	increasing over time
PSMD4	Time	0.0527983620190836	0.0108968963791767	0.360550220869048	PTID4	B-naive	increasing over time
PRPF4B	Time	0.0610081178298229	0.0108421436505156	0.375044175261278	PTID4	B-naive	increasing over time
DDT	Time	0.0543853137656723	0.0107491092945898	0.360550220869048	PTID4	B-naive	increasing over time
PAPOLA	Time	0.133321130593079	0.0106964877371036	0.482522680135807	PTID4	B-naive	increasing over time
VPREB3	Time	0.345806525609411	0.010678707258142	0.651564188564725	PTID4	B-naive	increasing over time
TMED10	Time	0.0176691415083858	0.0106727584956846	0.247075929191643	PTID4	B-naive	increasing over time
ATP6V1F	Time	0.0128081485809167	0.0106698508964013	0.221365662729425	PTID4	B-naive	increasing over time
PTPRC	Time	0.060853680275465	0.0106351472408575	0.375044175261278	PTID4	B-naive	increasing over time
MRFAP1	Time	0.00937378769507504	0.0106042160772573	0.191089744338156	PTID4	B-naive	increasing over time
ELOVL5	Time	0.143662130736082	0.0105475191948335	0.494057571555794	PTID4	B-naive	increasing over time
HMGB2	Time	0.0732905037167907	0.0105355408563267	0.400586742879254	PTID4	B-naive	increasing over time
RERE	Time	0.082824401625719	0.0105105584174113	0.412780228426264	PTID4	B-naive	increasing over time
HIST1H1D	Time	0.203368305429422	0.0104585673494131	0.553279518862787	PTID4	B-naive	increasing over time
GOLGA4	Time	0.00480477150143157	0.0103811363734965	0.141385624007343	PTID4	B-naive	increasing over time
SELL	Time	0.368452185389385	0.0103642433778686	0.661454745547841	PTID4	B-naive	increasing over time
FBL	Time	0.0514034142370043	0.0103360624038546	0.360550220869048	PTID4	B-naive	increasing over time
ALKBH7	Time	0.0238541885508725	0.0103323005120928	0.27774226531593	PTID4	B-naive	increasing over time
CIRBP	Time	0.252037356530614	0.0103202744215707	0.586130339929799	PTID4	B-naive	increasing over time
PSMB9	Time	0.284061206589867	0.0102191747410543	0.610325792444515	PTID4	B-naive	increasing over time
ZFAS1	Time	0.0384659150323612	0.010167537646979	0.330377300684036	PTID4	B-naive	increasing over time
MZT2B	Time	0.315119264582244	0.0101472284205686	0.635114625548035	PTID4	B-naive	increasing over time
RNF213	Time	0.0888063306046719	0.0101112385077214	0.43054530482265	PTID4	B-naive	increasing over time
HMGN1	Time	5.56905347067374e-05	0.0100713327052135	0.0104698205248666	PTID4	B-naive	increasing over time
ATP5IF1	Time	0.106231754676507	0.0100450952248023	0.454473145164727	PTID4	B-naive	increasing over time
MYCBP2	Time	0.350770322296698	0.0100127441331234	0.652125924474253	PTID4	B-naive	increasing over time
IER2	Time	0.310126675248181	0.00996457118123639	0.633011719743029	PTID4	B-naive	increasing over time
SVIP	Time	0.0148607234466685	0.00995743364153473	0.233900875086169	PTID4	B-naive	increasing over time
SOCS1	Time	0.00417480082296897	0.00993652183568577	0.132122337804752	PTID4	B-naive	increasing over time
RAP1A	Time	0.0677384056144708	0.00992624612958087	0.392873159518083	PTID4	B-naive	increasing over time
